sample_id,environment,ros2_pub_command,raw_rrt,raw_llm,s_u,s_x
10,"{""start"":{""x"":3.56,""y"":0.39,""z"":-0.25},""goal"":{""x"":1.5,""y"":1.81,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.57,1.5,-0.75],""max_corner"":[2.83,1.81,0.25],""size"":[0.26,0.3,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[2.12,0.13,-0.75],""max_corner"":[2.37,0.74,0.25],""size"":[0.25,0.6,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[0.8,0.12,-0.75],""max_corner"":[1.29,0.7,0.25],""size"":[0.49,0.58,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.57,1.5,-0.75],\""max_corner\"":[2.83,1.81,0.25],\""size\"":[0.26,0.3,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[2.12,0.13,-0.75],\""max_corner\"":[2.37,0.74,0.25],\""size\"":[0.25,0.6,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[0.8,0.12,-0.75],\""max_corner\"":[1.29,0.7,0.25],\""size\"":[0.49,0.58,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":3.56,""y"":0.39,""z"":-0.25},{""x"":3.26,""y"":2.19,""z"":-0.25},{""x"":2.99,""y"":2.41,""z"":-0.25},{""x"":1.86,""y"":2.17,""z"":-0.25},{""x"":1.5,""y"":1.81,""z"":-0.25}]","[{""x"":3.56,""y"":0.39,""z"":-0.25},{""x"":3.33,""y"":2.26,""z"":-0.25},{""x"":2.03,""y"":2.44,""z"":-0.25},{""x"":1.5,""y"":1.81,""z"":-0.25}]",0.366981,0.236837
11,"{""start"":{""x"":1.62,""y"":2.46,""z"":-0.25},""goal"":{""x"":3.17,""y"":2.34,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[0.82,1.56,-0.75],""max_corner"":[1.19,2.05,0.25],""size"":[0.38,0.49,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[0.82,1.56,-0.75],\""max_corner\"":[1.19,2.05,0.25],\""size\"":[0.38,0.49,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":1.62,""y"":2.46,""z"":-0.25},{""x"":3.17,""y"":2.34,""z"":-0.25}]","[{""x"":1.62,""y"":2.46,""z"":-0.25},{""x"":3.17,""y"":2.34,""z"":-0.25}]",0.0,0.0
12,"{""start"":{""x"":2.28,""y"":0.02,""z"":-0.25},""goal"":{""x"":0.95,""y"":3.84,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[3.03,2.41,-0.75],""max_corner"":[3.63,2.77,0.25],""size"":[0.59,0.36,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[1.42,0.79,-0.75],""max_corner"":[1.81,1.25,0.25],""size"":[0.39,0.46,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[2.79,1.05,-0.75],""max_corner"":[3.04,1.72,0.25],""size"":[0.25,0.67,1.0]},{""id"":4,""label"":""box_4"",""shape"":""box"",""min_corner"":[2.43,1.93,-0.75],""max_corner"":[2.93,2.42,0.25],""size"":[0.5,0.49,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[3.03,2.41,-0.75],\""max_corner\"":[3.63,2.77,0.25],\""size\"":[0.59,0.36,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[1.42,0.79,-0.75],\""max_corner\"":[1.81,1.25,0.25],\""size\"":[0.39,0.46,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[2.79,1.05,-0.75],\""max_corner\"":[3.04,1.72,0.25],\""size\"":[0.25,0.67,1.0]},{\""id\"":4,\""label\"":\""box_4\"",\""shape\"":\""box\"",\""min_corner\"":[2.43,1.93,-0.75],\""max_corner\"":[2.93,2.42,0.25],\""size\"":[0.5,0.49,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":2.28,""y"":0.02,""z"":-0.25},{""x"":0.94,""y"":0.18,""z"":-0.25},{""x"":0.95,""y"":3.84,""z"":-0.25}]","[{""x"":2.28,""y"":0.02,""z"":-0.25},{""x"":0.95,""y"":3.84,""z"":-0.25}]",0.60174,1.482523
13,"{""start"":{""x"":0.93,""y"":3.83,""z"":-0.25},""goal"":{""x"":2.31,""y"":2.45,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[],\""timestamp\"":0.0}""}'","[{""x"":0.93,""y"":3.83,""z"":-0.25},{""x"":2.31,""y"":2.45,""z"":-0.25}]","[{""x"":0.93,""y"":3.83,""z"":-0.25},{""x"":2.31,""y"":2.45,""z"":-0.25}]",0.0,0.0
14,"{""start"":{""x"":0.15,""y"":2.06,""z"":-0.25},""goal"":{""x"":0.04,""y"":3.25,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.01,2.19,-0.75],""max_corner"":[2.38,2.89,0.25],""size"":[0.37,0.7,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[3.06,3.29,-0.75],""max_corner"":[3.54,3.87,0.25],""size"":[0.49,0.58,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.01,2.19,-0.75],\""max_corner\"":[2.38,2.89,0.25],\""size\"":[0.37,0.7,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[3.06,3.29,-0.75],\""max_corner\"":[3.54,3.87,0.25],\""size\"":[0.49,0.58,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":0.15,""y"":2.06,""z"":-0.25},{""x"":0.04,""y"":3.25,""z"":-0.25}]","[{""x"":0.15,""y"":2.06,""z"":-0.25},{""x"":0.04,""y"":3.25,""z"":-0.25}]",0.0,0.0
15,"{""start"":{""x"":2.79,""y"":3.95,""z"":-0.25},""goal"":{""x"":0.43,""y"":1.51,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[],\""timestamp\"":0.0}""}'","[{""x"":2.79,""y"":3.95,""z"":-0.25},{""x"":0.43,""y"":1.51,""z"":-0.25}]","[{""x"":2.79,""y"":3.95,""z"":-0.25},{""x"":0.43,""y"":1.51,""z"":-0.25}]",0.0,0.0
16,"{""start"":{""x"":1.07,""y"":3.82,""z"":-0.25},""goal"":{""x"":2.63,""y"":2.1,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[],\""timestamp\"":0.0}""}'","[{""x"":1.07,""y"":3.82,""z"":-0.25},{""x"":2.63,""y"":2.1,""z"":-0.25}]","[{""x"":1.07,""y"":3.82,""z"":-0.25},{""x"":2.63,""y"":2.1,""z"":-0.25}]",0.0,0.0
17,"{""start"":{""x"":0.19,""y"":0.12,""z"":-0.25},""goal"":{""x"":1.41,""y"":3.31,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[1.33,1.49,-0.75],""max_corner"":[2.07,1.96,0.25],""size"":[0.74,0.48,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[2.54,2.48,-0.75],""max_corner"":[3.13,2.74,0.25],""size"":[0.59,0.26,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[1.33,1.49,-0.75],\""max_corner\"":[2.07,1.96,0.25],\""size\"":[0.74,0.48,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[2.54,2.48,-0.75],\""max_corner\"":[3.13,2.74,0.25],\""size\"":[0.59,0.26,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":0.19,""y"":0.12,""z"":-0.25},{""x"":0.96,""y"":2.59,""z"":-0.25},{""x"":1.41,""y"":3.31,""z"":-0.25}]","[{""x"":0.19,""y"":0.12,""z"":-0.25},{""x"":0.73,""y"":2.31,""z"":-0.25},{""x"":1.41,""y"":3.31,""z"":-0.25}]",0.126222,0.135702
18,"{""start"":{""x"":0.69,""y"":0.96,""z"":-0.25},""goal"":{""x"":1.69,""y"":2.6,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[0.41,3.13,-0.75],""max_corner"":[1.14,3.66,0.25],""size"":[0.73,0.53,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[3.25,1.83,-0.75],""max_corner"":[3.53,2.55,0.25],""size"":[0.28,0.72,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[0.41,3.13,-0.75],\""max_corner\"":[1.14,3.66,0.25],\""size\"":[0.73,0.53,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[3.25,1.83,-0.75],\""max_corner\"":[3.53,2.55,0.25],\""size\"":[0.28,0.72,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":0.69,""y"":0.96,""z"":-0.25},{""x"":1.69,""y"":2.6,""z"":-0.25}]","[{""x"":0.69,""y"":0.96,""z"":-0.25},{""x"":1.69,""y"":2.6,""z"":-0.25}]",0.0,0.0
19,"{""start"":{""x"":2.38,""y"":0.21,""z"":-0.25},""goal"":{""x"":1.61,""y"":1.74,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[0.47,1.47,-0.75],""max_corner"":[0.77,2.15,0.25],""size"":[0.3,0.68,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[0.47,1.47,-0.75],\""max_corner\"":[0.77,2.15,0.25],\""size\"":[0.3,0.68,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":2.38,""y"":0.21,""z"":-0.25},{""x"":1.61,""y"":1.74,""z"":-0.25}]","[{""x"":2.38,""y"":0.21,""z"":-0.25},{""x"":1.61,""y"":1.74,""z"":-0.25}]",0.0,0.0
